Running inference with number of nodes: 8, free nodes: 6
Starting the nautilus sampler...
Please report issues at github.com/johannesulf/nautilus.
Status    | Bounds | Ellipses | Networks | Calls    | f_live | N_eff | log Z    
Sampling  | 2      | 0        | 4        | 5600     | 1.0000 | 1     | -279.09  
Computing | 2      | 0        | 4        | 5600     | 1.0000 | 1     | -279.09  
Sampling  | 2      | 0        | 4        | 5700     | 1.0000 | 1     | -279.12  
Computing | 2      | 0        | 4        | 5700     | 1.0000 | 1     | -279.12  
Computing | 4      | 1        | 4        | 12000    | 1.0000 | 1     | -165.71  
Sampling  | 4      | 1        | 4        | 12100    | 1.0000 | 1     | -165.73  
Computing | 4      | 1        | 4        | 12100    | 1.0000 | 1     | -165.73  
Sampling  | 4      | 1        | 4        | 12200    | 1.0000 | 1     | -165.75  
Computing | 4      | 1        | 4        | 12200    | 1.0000 | 1     | -165.75  
Sampling  | 4      | 1        | 4        | 12300    | 1.0000 | 1     | -165.77  
Computing | 4      | 1        | 4        | 12300    | 1.0000 | 1     | -165.77  
Sampling  | 4      | 1        | 4        | 12400    | 1.0000 | 1     | -165.79  
Computing | 4      | 1        | 4        | 12400    | 1.0000 | 1     | -165.79  
Bounding  | 4      | 1        | 4        | 12500    | 1.0000 | 1     | -165.81  
Sampling  | 5      | 1        | 4        | 12500    | 1.0000 | 1     | -681.38  
Computing | 5      | 1        | 4        | 12500    | 1.0000 | 1     | -681.38  
Sampling  | 5      | 1        | 4        | 12600    | 1.0000 | 1     | -254.84  
Computing | 5      | 1        | 4        | 12600    | 1.0000 | 1     | -254.84  
Sampling  | 5      | 1        | 4        | 12700    | 1.0000 | 1     | -165.52  
Computing | 5      | 1        | 4        | 12700    | 1.0000 | 1     | -165.52  
Sampling  | 5      | 1        | 4        | 12800    | 1.0000 | 1     | -165.85  
Computing | 5      | 1        | 4        | 12800    | 1.0000 | 1     | -165.85  
Sampling  | 5      | 1        | 4        | 12900    | 1.0000 | 1     | -165.88  
Computing | 5      | 1        | 4        | 12900    | 1.0000 | 1     | -165.88  
Sampling  | 5      | 1        | 4        | 13000    | 1.0000 | 1     | -165.92  
Computing | 5      | 1        | 4        | 13000    | 1.0000 | 1     | -165.92  
Sampling  | 5      | 1        | 4        | 13100    | 1.0000 | 1     | -147.82  
Computing | 5      | 1        | 4        | 13100    | 1.0000 | 1     | -147.82  
Sampling  | 5      | 1        | 4        | 13200    | 1.0000 | 1     | -147.86  
Computing | 5      | 1        | 4        | 13200    | 1.0000 | 1     | -147.86  
Sampling  | 5      | 1        | 4        | 13300    | 1.0000 | 1     | -147.89  
Computing | 5      | 1        | 4        | 13300    | 1.0000 | 1     | -147.89  
Sampling  | 5      | 1        | 4        | 13400    | 1.0000 | 1     | -147.92  
Computing | 5      | 1        | 4        | 13400    | 1.0000 | 1     | -147.92  
Sampling  | 5      | 1        | 4        | 13500    | 1.0000 | 1     | -147.95  
Computing | 5      | 1        | 4        | 13500    | 1.0000 | 1     | -147.95  
Sampling  | 5      | 1        | 4        | 13600    | 1.0000 | 1     | -147.97  
Computing | 5      | 1        | 4        | 13600    | 1.0000 | 1     | -147.97  
Sampling  | 5      | 1        | 4        | 13700    | 1.0000 | 1     | -148.00  
Computing | 5      | 1        | 4        | 13700    | 1.0000 | 1     | -148.00  
Sampling  | 5      | 1        | 4        | 13800    | 1.0000 | 1     | -148.03  
Computing | 5      | 1        | 4        | 13800    | 1.0000 | 1     | -148.03  
Sampling  | 5      | 1        | 4        | 13900    | 1.0000 | 1     | -148.03  
Computing | 5      | 1        | 4        | 13900    | 1.0000 | 1     | -148.03  
Sampling  | 5      | 1        | 4        | 14000    | 1.0000 | 1     | -148.05  
Computing | 5      | 1        | 4        | 14000    | 1.0000 | 1     | -148.05  
Sampling  | 5      | 1        | 4        | 14100    | 1.0000 | 1     | -148.08  
Computing | 5      | 1        | 4        | 14100    | 1.0000 | 1     | -148.08  
Sampling  | 5      | 1        | 4        | 14200    | 1.0000 | 1     | -148.10  
Computing | 5      | 1        | 4        | 14200    | 1.0000 | 1     | -148.10  
Sampling  | 5      | 1        | 4        | 14300    | 1.0000 | 1     | -148.13  
Computing | 5      | 1        | 4        | 14300    | 1.0000 | 1     | -148.13  
Sampling  | 5      | 1        | 4        | 14400    | 1.0000 | 1     | -148.15  
Computing | 5      | 1        | 4        | 14400    | 1.0000 | 1     | -148.15  
Sampling  | 5      | 1        | 4        | 14500    | 1.0000 | 1     | -148.17  
Computing | 5      | 1        | 4        | 14500    | 1.0000 | 1     | -148.17  
Sampling  | 5      | 1        | 4        | 14600    | 1.0000 | 1     | -148.20  
Computing | 5      | 1        | 4        | 14600    | 1.0000 | 1     | -148.20  
Sampling  | 5      | 1        | 4        | 14700    | 1.0000 | 1     | -148.22  
Computing | 5      | 1        | 4        | 14700    | 1.0000 | 1     | -148.22  
Sampling  | 5      | 1        | 4        | 14800    | 1.0000 | 1     | -148.24  
Computing | 5      | 1        | 4        | 14800    | 1.0000 | 1     | -148.24  
Sampling  | 5      | 1        | 4        | 14900    | 1.0000 | 1     | -148.26  
Computing | 5      | 1        | 4        | 14900    | 1.0000 | 1     | -148.26  
Sampling  | 5      | 1        | 4        | 15000    | 1.0000 | 1     | -148.28  
Computing | 5      | 1        | 4        | 15000    | 1.0000 | 1     | -148.28  
Sampling  | 5      | 1        | 4        | 15100    | 1.0000 | 1     | -148.30  
Computing | 5      | 1        | 4        | 15100    | 1.0000 | 1     | -148.30  
Sampling  | 5      | 1        | 4        | 15200    | 1.0000 | 1     | -148.32  
Computing | 5      | 1        | 4        | 15200    | 1.0000 | 1     | -148.32  
Sampling  | 5      | 1        | 4        | 15300    | 1.0000 | 1     | -148.34  
Computing | 5      | 1        | 4        | 15300    | 1.0000 | 1     | -148.34  
Sampling  | 5      | 1        | 4        | 15400    | 1.0000 | 1     | -148.36  
Computing | 5      | 1        | 4        | 15400    | 1.0000 | 1     | -148.36  
Sampling  | 5      | 1        | 4        | 15500    | 1.0000 | 1     | -148.37  
Computing | 5      | 1        | 4        | 15500    | 1.0000 | 1     | -148.37  
Sampling  | 5      | 1        | 4        | 15600    | 1.0000 | 1     | -148.39  
Computing | 5      | 1        | 4        | 15600    | 1.0000 | 1     | -148.39  
Sampling  | 5      | 1        | 4        | 15700    | 1.0000 | 1     | -148.41  
Computing | 5      | 1        | 4        | 15700    | 1.0000 | 1     | -148.41  
Sampling  | 5      | 1        | 4        | 15800    | 1.0000 | 1     | -148.43  
Computing | 5      | 1        | 4        | 15800    | 1.0000 | 1     | -148.43  
Sampling  | 5      | 1        | 4        | 15900    | 1.0000 | 1     | -148.44  
Computing | 5      | 1        | 4        | 15900    | 1.0000 | 1     | -148.44  
Sampling  | 5      | 1        | 4        | 16000    | 1.0000 | 1     | -148.46  
Computing | 5      | 1        | 4        | 16000    | 1.0000 | 1     | -148.46  
Sampling  | 5      | 1        | 4        | 16100    | 1.0000 | 1     | -148.48  
Computing | 5      | 1        | 4        | 16100    | 1.0000 | 1     | -148.48  
Sampling  | 5      | 1        | 4        | 16200    | 1.0000 | 1     | -148.49  
Computing | 5      | 1        | 4        | 16200    | 1.0000 | 1     | -148.49  
Sampling  | 5      | 1        | 4        | 16300    | 1.0000 | 1     | -148.51  
Computing | 5      | 1        | 4        | 16300    | 1.0000 | 1     | -148.51  
Bounding  | 5      | 1        | 4        | 16400    | 1.0000 | 1     | -148.53  
Sampling  | 6      | 1        | 4        | 16400    | 1.0000 | 1     | -715.92  
Computing | 6      | 1        | 4        | 16400    | 1.0000 | 1     | -715.92  
Sampling  | 6      | 1        | 4        | 16500    | 1.0000 | 1     | -150.44  
Computing | 6      | 1        | 4        | 16500    | 1.0000 | 1     | -150.44  
Sampling  | 6      | 1        | 4        | 16600    | 1.0000 | 1     | -151.11  
Computing | 6      | 1        | 4        | 16600    | 1.0000 | 1     | -151.11  
Sampling  | 6      | 1        | 4        | 16700    | 1.0000 | 1     | -151.50  
Computing | 6      | 1        | 4        | 16700    | 1.0000 | 1     | -151.50  
Sampling  | 6      | 1        | 4        | 16800    | 1.0000 | 1     | -151.80  
Computing | 6      | 1        | 4        | 16800    | 1.0000 | 1     | -151.80  
Sampling  | 6      | 1        | 4        | 16900    | 1.0000 | 1     | -152.02  
Computing | 6      | 1        | 4        | 16900    | 1.0000 | 1     | -152.02  
Sampling  | 6      | 1        | 4        | 17000    | 1.0000 | 1     | -148.53  
Computing | 6      | 1        | 4        | 17000    | 1.0000 | 1     | -148.53  
Sampling  | 6      | 1        | 4        | 17100    | 1.0000 | 1     | -148.61  
Computing | 6      | 1        | 4        | 17100    | 1.0000 | 1     | -148.61  
Sampling  | 6      | 1        | 4        | 17200    | 1.0000 | 1     | -148.65  
Computing | 6      | 1        | 4        | 17200    | 1.0000 | 1     | -148.65  
Sampling  | 6      | 1        | 4        | 17300    | 1.0000 | 1     | -132.00  
Computing | 6      | 1        | 4        | 17300    | 1.0000 | 1     | -132.00  
Sampling  | 6      | 1        | 4        | 17400    | 1.0000 | 1     | -132.03  
Computing | 6      | 1        | 4        | 17400    | 1.0000 | 1     | -132.03  
Sampling  | 6      | 1        | 4        | 17500    | 1.0000 | 1     | -132.06  
Computing | 6      | 1        | 4        | 17500    | 1.0000 | 1     | -132.06  
Sampling  | 6      | 1        | 4        | 17600    | 1.0000 | 1     | -132.09  
Computing | 6      | 1        | 4        | 17600    | 1.0000 | 1     | -132.09  
Sampling  | 6      | 1        | 4        | 17700    | 1.0000 | 1     | -132.12  
Computing | 6      | 1        | 4        | 17700    | 1.0000 | 1     | -132.12  
Sampling  | 6      | 1        | 4        | 17800    | 1.0000 | 1     | -130.01  
Computing | 6      | 1        | 4        | 17800    | 1.0000 | 1     | -130.01  
Sampling  | 6      | 1        | 4        | 17900    | 1.0000 | 1     | -130.04  
Computing | 6      | 1        | 4        | 17900    | 1.0000 | 1     | -130.04  
Sampling  | 6      | 1        | 4        | 18000    | 1.0000 | 1     | -130.06  
Computing | 6      | 1        | 4        | 18000    | 1.0000 | 1     | -130.06  
Sampling  | 6      | 1        | 4        | 18100    | 1.0000 | 1     | -130.09  
Computing | 6      | 1        | 4        | 18100    | 1.0000 | 1     | -130.09  
Sampling  | 6      | 1        | 4        | 18200    | 1.0000 | 1     | -130.11  
Computing | 6      | 1        | 4        | 18200    | 1.0000 | 1     | -130.11  
Sampling  | 6      | 1        | 4        | 18300    | 1.0000 | 1     | -130.14  
Computing | 6      | 1        | 4        | 18300    | 1.0000 | 1     | -130.14  
Sampling  | 6      | 1        | 4        | 18400    | 1.0000 | 1     | -130.16  
Computing | 6      | 1        | 4        | 18400    | 1.0000 | 1     | -130.16  
Sampling  | 6      | 1        | 4        | 18500    | 1.0000 | 1     | -130.19  
Computing | 6      | 1        | 4        | 18500    | 1.0000 | 1     | -130.19  
Sampling  | 6      | 1        | 4        | 18600    | 1.0000 | 1     | -130.21  
Computing | 6      | 1        | 4        | 18600    | 1.0000 | 1     | -130.21  
Sampling  | 6      | 1        | 4        | 18700    | 1.0000 | 1     | -130.23  
Computing | 6      | 1        | 4        | 18700    | 1.0000 | 1     | -130.23  
Sampling  | 6      | 1        | 4        | 18800    | 1.0000 | 1     | -130.25  
Computing | 6      | 1        | 4        | 18800    | 1.0000 | 1     | -130.25  
Sampling  | 6      | 1        | 4        | 18900    | 1.0000 | 1     | -130.28  
Computing | 6      | 1        | 4        | 18900    | 1.0000 | 1     | -130.28  
Sampling  | 6      | 1        | 4        | 19000    | 1.0000 | 1     | -121.39  
Computing | 6      | 1        | 4        | 19000    | 1.0000 | 1     | -121.39  
Sampling  | 6      | 1        | 4        | 19100    | 1.0000 | 1     | -121.42  
Computing | 6      | 1        | 4        | 19100    | 1.0000 | 1     | -121.42  
Sampling  | 6      | 1        | 4        | 19200    | 1.0000 | 1     | -121.44  
Computing | 6      | 1        | 4        | 19200    | 1.0000 | 1     | -121.44  
Sampling  | 6      | 1        | 4        | 19300    | 1.0000 | 1     | -34.99   
Computing | 6      | 1        | 4        | 19300    | 1.0000 | 1     | -34.99   
Sampling  | 6      | 1        | 4        | 19400    | 1.0000 | 1     | -35.01   
Computing | 6      | 1        | 4        | 19400    | 1.0000 | 1     | -35.01   
Sampling  | 6      | 1        | 4        | 19500    | 1.0000 | 1     | -35.03   
Computing | 6      | 1        | 4        | 19500    | 1.0000 | 1     | -35.03   
Sampling  | 6      | 1        | 4        | 19600    | 1.0000 | 1     | -35.05   
Computing | 6      | 1        | 4        | 19600    | 1.0000 | 1     | -35.05   
Sampling  | 6      | 1        | 4        | 19700    | 1.0000 | 1     | -35.07   
Computing | 6      | 1        | 4        | 19700    | 1.0000 | 1     | -35.07   
Sampling  | 6      | 1        | 4        | 19800    | 1.0000 | 1     | -35.09   
Computing | 6      | 1        | 4        | 19800    | 1.0000 | 1     | -35.09   
Sampling  | 6      | 1        | 4        | 19900    | 1.0000 | 1     | -35.11   
Computing | 6      | 1        | 4        | 19900    | 1.0000 | 1     | -35.11   
Sampling  | 6      | 1        | 4        | 20000    | 1.0000 | 1     | -35.12   
Computing | 6      | 1        | 4        | 20000    | 1.0000 | 1     | -35.12   
Sampling  | 6      | 1        | 4        | 20100    | 1.0000 | 1     | -35.14   
Computing | 6      | 1        | 4        | 20100    | 1.0000 | 1     | -35.14   
Sampling  | 6      | 1        | 4        | 20200    | 1.0000 | 1     | -35.16   
Computing | 6      | 1        | 4        | 20200    | 1.0000 | 1     | -35.16   
Sampling  | 6      | 1        | 4        | 20300    | 1.0000 | 1     | -35.17   
Computing | 6      | 1        | 4        | 20300    | 1.0000 | 1     | -35.17   
Sampling  | 6      | 1        | 4        | 20400    | 1.0000 | 1     | -35.19   
Computing | 6      | 1        | 4        | 20400    | 1.0000 | 1     | -35.19   
Sampling  | 6      | 1        | 4        | 20500    | 1.0000 | 1     | -35.21   
Computing | 6      | 1        | 4        | 20500    | 1.0000 | 1     | -35.21   
Sampling  | 6      | 1        | 4        | 20600    | 1.0000 | 1     | -35.22   
Computing | 6      | 1        | 4        | 20600    | 1.0000 | 1     | -35.22   
Sampling  | 6      | 1        | 4        | 20700    | 1.0000 | 1     | -35.24   
Computing | 6      | 1        | 4        | 20700    | 1.0000 | 1     | -35.24   
Bounding  | 6      | 1        | 4        | 20800    | 1.0000 | 1     | -35.25   
Sampling  | 7      | 1        | 4        | 20800    | 1.0000 | 1     | -423.56  
Computing | 7      | 1        | 4        | 20800    | 1.0000 | 1     | -423.56  
Sampling  | 7      | 1        | 4        | 20900    | 1.0000 | 1     | -184.11  
Computing | 7      | 1        | 4        | 20900    | 1.0000 | 1     | -184.11  
Sampling  | 7      | 1        | 4        | 21000    | 1.0000 | 1     | -120.45  
Computing | 7      | 1        | 4        | 21000    | 1.0000 | 1     | -120.45  
Sampling  | 7      | 1        | 4        | 21100    | 1.0000 | 1     | -87.12   
Computing | 7      | 1        | 4        | 21100    | 1.0000 | 1     | -87.12   
Sampling  | 7      | 1        | 4        | 21200    | 1.0000 | 1     | -87.44   
Computing | 7      | 1        | 4        | 21200    | 1.0000 | 1     | -87.44   
Sampling  | 7      | 1        | 4        | 21300    | 1.0000 | 1     | -87.62   
Computing | 7      | 1        | 4        | 21300    | 1.0000 | 1     | -87.62   
Sampling  | 7      | 1        | 4        | 21400    | 1.0000 | 1     | -35.08   
Computing | 7      | 1        | 4        | 21400    | 1.0000 | 1     | -35.08   
Sampling  | 7      | 1        | 4        | 21500    | 1.0000 | 1     | -35.23   
Computing | 7      | 1        | 4        | 21500    | 1.0000 | 1     | -35.23   
Sampling  | 7      | 1        | 4        | 21600    | 1.0000 | 1     | -35.34   
Computing | 7      | 1        | 4        | 21600    | 1.0000 | 1     | -35.34   
Sampling  | 7      | 1        | 4        | 21700    | 1.0000 | 1     | -35.37   
Computing | 7      | 1        | 4        | 21700    | 1.0000 | 1     | -35.37   
Sampling  | 7      | 1        | 4        | 21800    | 1.0000 | 1     | -35.40   
Computing | 7      | 1        | 4        | 21800    | 1.0000 | 1     | -35.40   
Sampling  | 7      | 1        | 4        | 21900    | 1.0000 | 1     | -35.42   
Computing | 7      | 1        | 4        | 21900    | 1.0000 | 1     | -35.42   
Sampling  | 7      | 1        | 4        | 22000    | 1.0000 | 1     | -35.45   
Computing | 7      | 1        | 4        | 22000    | 1.0000 | 1     | -35.45   
Sampling  | 7      | 1        | 4        | 22100    | 1.0000 | 1     | -35.48   
Computing | 7      | 1        | 4        | 22100    | 1.0000 | 1     | -35.48   
Sampling  | 7      | 1        | 4        | 22200    | 1.0000 | 1     | -35.51   
Computing | 7      | 1        | 4        | 22200    | 1.0000 | 1     | -35.51   
Sampling  | 7      | 1        | 4        | 22300    | 1.0000 | 1     | -35.53   
Computing | 7      | 1        | 4        | 22300    | 1.0000 | 1     | -35.53   
Sampling  | 7      | 1        | 4        | 22400    | 1.0000 | 1     | -35.56   
Computing | 7      | 1        | 4        | 22400    | 1.0000 | 1     | -35.56   
